"treatment_id","deltaS","se_deltaS","deltaN","se_deltaN","gammaN","se_gammaN","rhoDA","se_rhoDA","sigmaDA","se_sigmaDA","rhoFU","se_rhoFU","sigmaFU","se_sigmaFU","gammaFU","se_gammaFU","S_AIC","N_AIC","DA_AIC","FU_AIC","nobs"
"2007Lis165_1a",0.52957827,0.15931816,1.4149572,0.80194759,2.1633379,1.45017,0.34465593,0.15876697,-0.045642599,0.40813535,-1.0738928,0.58031112,0.37040004,0.4443365,4.8542767,1.8924893,103.20988,99.034378,103.9211,97.487717,24
"2012Laz164_3",0.30479866,0.029896507,1.091248,0.17000487,3.1984797,0.53216976,0.45991579,0.03110487,-0.27542081,0.25210023,-0.041206263,0.10800775,-0.055683084,0.25437507,3.1733851,0.6401962,551.39502,487.92297,515.58582,489.91913,135
"2013Kru001_1a",0.29608119,0.051976461,0.61616212,0.18974034,1.5078218,0.68308979,0.41432145,0.049005192,0.15933347,0.15007235,0.13403973,0.16592537,0.2393382,0.1617882,1.8425756,1.0096092,215.31009,210.02052,213.45116,211.83302,52
"2016Kim003_7",0.19220082,0.025541957,0.95234513,0.15358223,4.3492498,0.76173264,0.50340939,0.028902715,-13.835022,0.13003832,0.1427581,0.10671607,-7.3120899,0.1011136,3.3836026,0.95863438,329.68552,289.306,294.01318,281.55856,66
"2017Del037_1",0.19190535,0.042841397,0.13947536,0.090786658,2.8167868,0.79463184,0.5760926,0.057030965,-0.46159822,0.23559968,0.5772596,0.078403592,-0.46693414,0.4048945,-0.031218717,1.6460098,103.42546,91.567253,86.406265,88.405907,29
"2017Fro073_1",0.51798928,0.055438332,0.52272618,0.16664663,0.022663644,0.86470312,0.26452896,0.040448487,0.085748345,0.21394259,1.0943595,0.26276666,-0.07171727,0.22825398,-6.3741632,2.1237948,416.88715,418.88617,417.33298,410.60989,126
"2017Gac013_2",0.06349092,0.097719386,13.313226,4.8468184,34.511745,12.675963,0.46825454,0.048859693,NA,NA,-6.1566129,2.4234092,NA,NA,34.511745,12.675963,229.96927,220.03888,229.96927,220.03888,71
"2017Gac013_4",0.028178705,0.098829925,1.5722675,0.52869725,3.6893213,1.2353235,0.48591065,0.049414963,NA,NA,-0.2861338,0.26434863,NA,NA,3.6893213,1.2353235,230.42749,223.73903,230.42749,223.73903,71
"2017Tho028_1",0.092117563,0.050334308,0.58178937,0.31652689,3.06408,1.9513805,0.45394123,0.025167154,NA,NA,0.20910515,0.15826343,NA,NA,3.0640826,1.9513801,251.79283,250.76553,251.79283,250.76553,53
"2018Her061_9",0.51465046,0.094211839,1.8670039,0.52188462,4.9146137,1.6602104,0.30289504,0.068950951,-7.2129984,0.25836515,-0.35825554,0.29997814,-6.8189368,0.19228296,4.4755249,1.8620344,127.55087,119.22826,125.10174,120.33194,38
"2019Cha026_1",0.17416845,0.045510307,0.76401508,0.26328242,3.9579771,1.2008394,0.51115745,0.056889538,0.21674234,0.11424271,-0.64876819,0.28951919,0.54446679,0.14927979,10.310418,2.5022676,255.00935,221.73816,248.20792,203.70059,56
"2020Bas115_2a",0.26671571,0.028515905,1.1712098,0.31926399,3.5356991,0.92750889,0.50190282,0.03323159,-0.32716414,0.3170253,-0.32093123,0.16526607,0.35842347,0.29896042,4.872097,0.93601716,536.68311,457.09781,488.76755,454.5704,127
"2023Eck169_1a",0.092057616,0.0075348564,0.51542759,0.078431606,4.4377999,0.56194121,0.53996718,0.010892358,0.19587502,0.051313657,0.03295305,0.046390813,0.48207223,0.054655079,7.3334846,0.65746897,1604.3662,1257.0031,1416.3878,1216.3469,357
"2023Eck169_1b",0.099026427,0.0091726566,0.34921718,0.052441549,3.1102762,0.45104542,0.49333957,0.010660527,0.35849902,0.02405905,-0.071087956,0.045218207,0.54198366,0.026387725,9.2456503,0.72947878,1571.1659,1419.6697,1529.4531,1297.1864,353
"Average",0.121413588413216,0.00528092942285737,0.463495514764661,0.0346822152968701,3.1317000377934,0.213107773708906,0.497991894464982,0.00636732421469505,-0.0939757787983663,0.0205235801473812,0.0553712178908253,0.026191139512089,0.0365932199885619,0.0221629922056891,4.91819188635498,0.287653540195331,466.205581428571,411.8584115,439.3441575,397.606706714286,1558
