"treatment_id","basedeltaNU","se_basedeltaNU","basegammaNU","se_basegammaNU","baseetaNU","se_baseetaNU","baserhoNU","se_baserhoNU","basesigmaNU","se_basesigmaNU","deltaNU","se_deltaNU","gammaNU","se_gammaNU","etaNU","se_etaNU","nuNU","se_nuNU","rhoNU","se_rhoNU","sigmaNU","se_sigmaNU","baseNU_AIC","NU_AIC","nobs_NU"
"2007Lis165_1a",1,0,4.7737012,1.873143,-2.2070258,11.585039,-1.0957236,0.57970536,0.54833561,1.0962484,1,0,19.557293,16.46995,-15.421283,19.854309,-37.059978,40.972748,-0.077663541,1.1763804,2.2974415,2.3136573,99.444489,99.663033,24
"2012Laz164_3",1,0,1.1951246,1.8039918,-6.4101315,5.5091181,0.21764563,0.24502786,0.11139863,0.29129004,1,0,1.2664928,1.8619565,-8.16399,11.239539,-1.7434306,9.7766581,0.30762199,0.54362637,0.19766757,0.66921711,490.43976,492.38391,135
"2013Kru001_1a",1,0,1.392042,1.7046403,-2.0869772,6.5505633,0.16533105,0.18653528,0.31244525,0.2669979,1,0,0.48970869,2.8483851,8.3580933,21.397303,12.674277,26.529085,-0.33558187,1.0192142,-0.18164787,1.120991,213.74513,215.46902,52
"2016Kim003_7",1,0,4.8371272,1.0002061,14.397935,6.1982498,0.12549096,0.092771359,-6.9831858,0.13670361,1,0,4.2492967,2.134186,14.402463,6.2893252,2.622833,9.099081,0.084086232,0.17605899,-7.3569789,0.19562775,274.14291,276.05692,66
"2017Del037_1",1,0,-0.061439883,1.61775,0.50223255,1.989894,0.5949716,0.10315965,-0.50025034,0.41195333,1,0,31.365709,16.841238,10.71229,5.8066936,-41.397381,22.316618,0.49603409,0.11819546,0.22433957,0.71835613,90.34407,89.757332,29
"2017Fro073_1",1,0,4.7837572,3.7244618,-31.531788,8.0494719,-1.2608685,0.69071805,1.6421396,0.4800674,1,0,1.6227988,3.193486,-0.62227535,10.737029,-15.423459,4.6185188,0.97868913,0.81939077,0.21518105,0.71244049,388.89816,381.3446,126
"2017Gac013_2",1,0,70.199448,19.706026,-85.186943,36.110691,-11.55956,3.2745521,0,0,1,0,67.453384,26.461187,-82.256439,40.297451,1.1307133,7.4785552,-11.158729,4.1575227,0,0,214.68724,216.66386,71
"2017Gac013_4",1,0,4.6516047,1.8048465,-7.696054,6.7515764,-0.55530435,0.42096457,0,0,1,0,7.7427354,2.2111416,-7.778183,6.935184,-13.340195,6.634213,-0.21792753,0.41351527,0,0,224.38766,222.04794,71
"2017Tho028_1",1,0,5.3871593,2.336025,10.416882,4.7217417,0.10397363,0.17580357,0,0,1,0,3.9982135,2.4336212,15.762996,5.7824564,14.783916,8.0709972,-0.20577033,0.25976831,0,0,247.72699,247.54875,53
"2018Her061_9",1,0,9.3514204,3.316359,-20.00065,7.1748824,-1.3648578,0.58028269,-9.0328503,0.35740685,1,0,7.7215638,8.5033932,-19.67893,7.7290955,4.5165501,19.93644,-1.4398047,0.59331113,-6.0826287,0.43181765,113.12882,115.07024,38
"2019Cha026_1",1,0,11.628284,1.8219625,-41.006908,11.65127,-1.7551507,0.41645825,2.6012628,0.56658834,1,0,7.2560577,6.8621922,-55.075676,23.393764,23.868706,38.109108,-2.7835529,1.6977394,3.0100248,0.79319167,186.06641,187.57738,56
"2020Bas115_2a",1,0,8.8606539,2.5760911,14.047566,7.8452907,-0.98236507,0.42953089,-0.054927178,0.39813918,1,0,10.320386,4.7309861,15.513096,8.9520779,-3.7147286,9.4081821,-1.0209076,0.46594766,-0.090883091,0.32321301,451.19031,452.90961,127
"2023Eck169_1a",1,0,-0.90721327,1.2513142,-38.734764,5.9806561,0.07375849,0.035226159,1.0882722,0.1007623,1,0,0.28833383,1.314968,-43.666355,6.1532321,-23.787783,6.5833731,0.59903878,0.14864671,1.1083138,0.094029315,1171.3546,1163.5914,357
"2023Eck169_1b",1,0,8.7209892,0.61170751,-29.161196,4.3664303,-0.38639799,0.066489883,1.0088512,0.070087612,1,0,10.044171,1.782022,-28.826395,4.5388126,-7.3646569,9.1574163,-0.25772002,0.1725218,1.0196882,0.072932646,1243.8228,1245.1952,353
"Average",NA,Inf,5.69614337453399,0.385271463329904,-5.65511437951683,1.3499745288881,0.0183317066539359,0.0272676063422752,-0.277617642461344,0.0494043212209946,NA,Inf,3.889635151616,0.692660736049883,-8.30218346598798,2.06917995931597,-8.40474663574302,2.36427448603071,0.202333851937349,0.0677634856024069,0.278427625403343,0.0533851554776612,386.384239214286,386.091371071429,1558
