"treatment_id","basedeltaNU","basegammaNU","baseetaNU","deltaNU","gammaNU","etaNU","nuNU","baserhoNU","basesigmaNU","rhoNU","sigmaNU","Game_type","n","se_basedeltaNU","se_basegammaNU","se_baseetaNU","se_deltaNU","se_gammaNU","se_etaNU","se_nuNU","se_baserhoNU","se_basesigmaNU","se_rhoNU","se_sigmaNU"
"2007Lis165_1a",1,4.77370118291764,-2.20702585296628,1,19.5572928431554,-15.4212832242446,-37.0599789279598,-1.09572363260709,0.548335603497627,-0.0776635400928049,2.29744143763236,"DG",24,NA,1.87314301037759,11.5850393958947,NA,16.4699488367524,19.8543090072723,40.9727482774207,0.579705369519218,1.09624842384421,1.17638042210758,2.31365722995986
"2012Laz164_3",1,1.19512467108655,-6.41013150752076,1,1.26649289577416,-8.16398962132357,-1.743430659856,0.21764563146125,0.11139862852411,0.307621972056052,0.197667569353062,"DG",135,NA,1.80399177930222,5.509118097709,NA,1.86195646829269,11.2395393038834,9.77665792672954,0.245027855001952,0.291290042930911,0.543626371184636,0.669217104951778
"2013Kru001_1a",1,1.39204208988789,-2.0869772728651,1,0.48970869549493,8.35809369860842,12.6742772355605,0.165331048500856,0.312445247236431,-0.3355818777736,-0.181647868863286,"DG",52,NA,1.70464024182202,6.55056342179782,NA,2.84838513796743,21.3973033466713,26.529085689201,0.186535276906668,0.266997895897024,1.01921411419858,1.1209910469906
"2016Kim003_7",1,4.83712697131525,14.3979350841221,1,4.24929655703226,14.4024631606847,2.62283301880084,0.125490962283717,-6.98318560296541,0.0840862327733814,-7.35697900873501,"DG",67,NA,1.00020613730209,6.19824963202258,NA,2.13418601554044,6.28932530826652,9.09908123335324,0.0927713620650215,0.136703604176616,0.176058987818514,0.195627745542426
"2017Del037_1",1,-0.0614398816809728,0.502232535337402,1,31.3657095988308,10.7122900282485,-41.3973800783002,0.594971584174106,-0.500250327511483,0.496034098273268,0.224339573277264,"DG",30,NA,1.61775005486656,1.98989397733023,NA,16.8412372516604,5.80669367808638,22.3166175543959,0.10315965110198,0.411953323729769,0.118195458376958,0.718356154388061
"2017Fro073_1",1,4.7837569852407,-31.5317883593922,1,1.62279884203915,-0.622275358947469,-15.4234587074108,-1.26086849105339,1.64213950241769,0.978689124119294,0.2151810505224,"DG",126,NA,3.72446187993501,8.04947171522683,NA,3.19348604833901,10.7370288988504,4.61851889974551,0.690718051554956,0.480067392064501,0.81939077633676,0.712440496236873
"2017Gac013_2",1,70.1994440220612,-85.1869463062675,1,67.4533822228871,-82.2564391112278,1.1307134002988,-11.5595593553281,0,-11.1587288014848,0,"DG",71,NA,19.7060267403969,36.1106902172127,NA,26.4611867372621,40.2974525906973,7.47855498328398,3.27455208979959,NA,4.15752273260003,NA
"2017Gac013_4",1,4.65160445155716,-7.69605376503778,1,7.74273533093091,-7.7781831994837,-13.3401951177898,-0.555304356970061,0,-0.217927526325848,0,"DG",71,NA,1.80484653620404,6.75157641265083,NA,2.2111414878482,6.93518384208412,6.63421274050439,0.420964554296398,NA,0.413515282252827,NA
"2017Tho028_1",1,5.38715920613355,10.4168817224158,1,3.9982134346768,15.7629960319277,14.7839155077087,0.103973626761649,0,-0.205770333994864,0,"DG",53,NA,2.33602496880151,4.72174191150146,NA,2.43362114328365,5.78245630058953,8.07099746361378,0.175803576149791,NA,0.259768306741419,NA
"2018Her061_9",1,9.35142044302864,-20.0006511457344,1,7.72156353374105,-19.6789295366042,4.51655040173226,-1.36485785109695,-9.03284988634793,-1.43980465313063,-6.08256258828574,"DG",38,NA,3.31635905855598,7.17488254646142,NA,8.50339342701352,7.7290954985314,19.9364395648567,0.580282672593704,0.35740685978094,0.593311148085952,0.431817643373889
"2019Cha026_1",1,11.6282839015828,-41.0069077922837,1,7.25605775512914,-55.0756744767029,23.8687057734728,-1.75515064186749,2.6012627299226,-2.7835527881464,3.01002485417962,"DG",56,NA,1.82196251347898,11.65126989918,NA,6.8621923389698,23.3937635669048,38.1091081463708,0.416458259039353,0.56658836717981,1.69773936958102,0.793191661348247
"2020Bas115_2a",1,8.86065362290559,14.0475666339949,1,10.3203859214484,15.5130958475516,-3.71472865190485,-0.982365061258483,-0.0549271763932519,-1.02090762215308,-0.0908830932494115,"DG",127,NA,2.57609104461885,7.845290622207,NA,4.73098618424295,8.95207805136562,9.40818188485242,0.429530877159497,0.398139173069284,0.465947644774385,0.323213004240462
"2023Eck169_1a",1,-0.907213273419883,-38.7347635603794,1,0.288333830900159,-43.6663547767302,-23.7877818787259,0.0737584931921679,1.08827220090794,0.599038797352105,1.10831375333358,"DG",357,NA,1.2513141495877,5.98065596113769,NA,1.31496793202201,6.15323200879995,6.58337321482502,0.0352261600628879,0.100762300624207,0.148646716219464,0.0940293122535758
"2023Eck169_1b",1,8.72098917576813,-29.1611957020877,1,10.0441717925488,-28.8263942083194,-7.36465701314747,-0.386397999638386,1.00885115010889,-0.25772001703836,1.01968824779299,"DG",353,NA,0.611707482294656,4.36643050287344,NA,1.78202201863463,4.53881241329247,9.15741642581031,0.0664898793537156,0.0700876144647808,0.172521800888993,0.0729326453468348
"Average",NA,5.69614337839465,-5.65511427644464,NA,3.88963516959668,-8.30218377072243,-8.40474646527384,0.0183316950036658,-0.277617750476485,0.202333853743665,0.278428632426171,"DG",1560,Inf,0.385271457366669,1.34997453068536,Inf,0.692660722778365,2.069179940048,2.36427449247824,0.0272676066826,0.0494043218846074,0.0677634857745375,0.0533851546014649
