"donation","Kw_m","PaperID","TreatmentCode"
"0",0.844961240310078,"2016Kim003",9
"5",0.751937984496124,"2016Kim003",9
"10",0.689922480620155,"2016Kim003",9
"15",0.488372093023256,"2016Kim003",9
"20",0.348837209302326,"2016Kim003",9
"25",0.317829457364341,"2016Kim003",9
"30",-0.0852713178294574,"2016Kim003",9
"35",-0.271317829457364,"2016Kim003",9
"40",-0.534883720930233,"2016Kim003",9
"45",-0.751937984496124,"2016Kim003",9
"50",-0.86046511627907,"2016Kim003",9
"0",-0.886524822695035,"2016Kim003",8
"2",-0.74468085106383,"2016Kim003",8
"4",-0.404255319148936,"2016Kim003",8
"6",0.0212765957446809,"2016Kim003",8
"8",0.787234042553192,"2016Kim003",8
"10",0.517730496453901,"2016Kim003",8
"12",0.333333333333333,"2016Kim003",8
"14",0.134751773049645,"2016Kim003",8
"16",0.134751773049645,"2016Kim003",8
"0",-0.815602836879433,"2016Kim003",6
"10",-0.560283687943262,"2016Kim003",6
"20",0.00709219858156029,"2016Kim003",6
"30",0.163120567375887,"2016Kim003",6
"40",0.602836879432624,"2016Kim003",6
"50",0.50354609929078,"2016Kim003",6
"60",0.432624113475177,"2016Kim003",6
"70",0.418439716312057,"2016Kim003",6
"80",0.418439716312057,"2016Kim003",6
"0",-0.875968992248062,"2016Kim003",7
"2",-0.736434108527132,"2016Kim003",7
"4",-0.37984496124031,"2016Kim003",7
"6",0.10077519379845,"2016Kim003",7
"8",0.829457364341085,"2016Kim003",7
"10",0.581395348837209,"2016Kim003",7
"12",0.426356589147287,"2016Kim003",7
"14",0.317829457364341,"2016Kim003",7
"16",0.302325581395349,"2016Kim003",7
